Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.644068,0.808511,0.24193499999999998,0.7169810000000001,0,7,64274167,56516727.000000,0.000000,59,.,.,45.000000,11.000000,,4.090909090909091,38,.,.,29.000000,8.000000,,3.625,21,.,.,16.000000,3.000000,,5.333333333333333,62,.,.,48.000000,12.000000,,4.0,38,.,.,29.000000,8.000000,,3.625,9,.,.,8.000000,0.000000,,,15,.,.,11.000000,4.000000,,2.75
INDEL,*,*,PASS,*,QUAL,*,0.644068,0.808511,0.24193499999999998,0.7169810000000001,0,7,64274167,56516727.000000,0.000000,59,.,.,45.000000,11.000000,,4.090909090909091,38,.,.,29.000000,8.000000,,3.625,21,.,.,16.000000,3.000000,,5.333333333333333,62,.,.,48.000000,12.000000,,4.0,38,.,.,29.000000,8.000000,,3.625,9,.,.,8.000000,0.000000,,,15,.,.,11.000000,4.000000,,2.75
INDEL,*,TS_contained,ALL,*,QUAL,*,0.644068,0.808511,0.0,0.7169810000000001,0,7,56516727.000000,56516727.000000,0.000000,59,.,.,45.000000,11.000000,,4.090909090909091,38,.,.,29.000000,8.000000,,3.625,21,.,.,16.000000,3.000000,,5.333333333333333,47,.,.,37.000000,8.000000,,4.625,38,.,.,29.000000,8.000000,,3.625,9,.,.,8.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.644068,0.808511,0.0,0.7169810000000001,0,7,56516727.000000,56516727.000000,0.000000,59,.,.,45.000000,11.000000,,4.090909090909091,38,.,.,29.000000,8.000000,,3.625,21,.,.,16.000000,3.000000,,5.333333333333333,47,.,.,37.000000,8.000000,,4.625,38,.,.,29.000000,8.000000,,3.625,9,.,.,8.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56516727.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56516727.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,56516727.000000,56516727.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,56516727.000000,56516727.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56516727.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56516727.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,56516727.000000,56516727.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,56516727.000000,56516727.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56516727.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56516727.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,56516727.000000,56516727.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,56516727.000000,56516727.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,*,ALL,*,QUAL,*,1.0,1.0,0.5,1.0,0,0,64274167,56516727.000000,0.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,
INDEL,D16_PLUS,*,PASS,*,QUAL,*,1.0,1.0,0.5,1.0,0,0,64274167,56516727.000000,0.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,
INDEL,D16_PLUS,TS_contained,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,56516727.000000,56516727.000000,0.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,TS_contained,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,56516727.000000,56516727.000000,0.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D1_5,*,ALL,*,QUAL,*,0.75,0.857143,0.22222199999999998,0.8,0,2,64274167,56516727.000000,0.000000,24,.,.,20.000000,4.000000,,5.0,18,.,.,14.000000,4.000000,,3.5,6,.,.,6.000000,0.000000,,,27,.,.,20.000000,7.000000,,2.857142857142857,18,.,.,14.000000,4.000000,,3.5,3,.,.,3.000000,0.000000,,,6,.,.,3.000000,3.000000,,1.0
INDEL,D1_5,*,PASS,*,QUAL,*,0.75,0.857143,0.22222199999999998,0.8,0,2,64274167,56516727.000000,0.000000,24,.,.,20.000000,4.000000,,5.0,18,.,.,14.000000,4.000000,,3.5,6,.,.,6.000000,0.000000,,,27,.,.,20.000000,7.000000,,2.857142857142857,18,.,.,14.000000,4.000000,,3.5,3,.,.,3.000000,0.000000,,,6,.,.,3.000000,3.000000,,1.0
INDEL,D1_5,TS_contained,ALL,*,QUAL,*,0.75,0.857143,0.0,0.8,0,2,56516727.000000,56516727.000000,0.000000,24,.,.,20.000000,4.000000,,5.0,18,.,.,14.000000,4.000000,,3.5,6,.,.,6.000000,0.000000,,,21,.,.,17.000000,4.000000,,4.25,18,.,.,14.000000,4.000000,,3.5,3,.,.,3.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D1_5,TS_contained,PASS,*,QUAL,*,0.75,0.857143,0.0,0.8,0,2,56516727.000000,56516727.000000,0.000000,24,.,.,20.000000,4.000000,,5.0,18,.,.,14.000000,4.000000,,3.5,6,.,.,6.000000,0.000000,,,21,.,.,17.000000,4.000000,,4.25,18,.,.,14.000000,4.000000,,3.5,3,.,.,3.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D6_15,*,ALL,*,QUAL,*,0.5,0.666667,0.25,0.571429,0,1,64274167,56516727.000000,0.000000,4,.,.,4.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,4,.,.,3.000000,1.000000,,3.0,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,0.000000,1.000000,,0.0
INDEL,D6_15,*,PASS,*,QUAL,*,0.5,0.666667,0.25,0.571429,0,1,64274167,56516727.000000,0.000000,4,.,.,4.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,4,.,.,3.000000,1.000000,,3.0,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,0.000000,1.000000,,0.0
INDEL,D6_15,TS_contained,ALL,*,QUAL,*,0.5,0.666667,0.0,0.571429,0,1,56516727.000000,56516727.000000,0.000000,4,.,.,4.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,3,.,.,3.000000,0.000000,,,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D6_15,TS_contained,PASS,*,QUAL,*,0.5,0.666667,0.0,0.571429,0,1,56516727.000000,56516727.000000,0.000000,4,.,.,4.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,3,.,.,3.000000,0.000000,,,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I16_PLUS,*,ALL,*,QUAL,*,0.0,,1.0,,0,0,64274167,56516727.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,
INDEL,I16_PLUS,*,PASS,*,QUAL,*,0.0,,1.0,,0,0,64274167,56516727.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,
INDEL,I16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,56516727.000000,56516727.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,56516727.000000,56516727.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I1_5,*,ALL,*,QUAL,*,0.576923,0.833333,0.181818,0.681818,0,2,64274167,56516727.000000,0.000000,26,.,.,16.000000,7.000000,,2.2857142857142856,15,.,.,10.000000,4.000000,,2.5,11,.,.,6.000000,3.000000,,2.0,22,.,.,16.000000,4.000000,,4.0,15,.,.,10.000000,4.000000,,2.5,3,.,.,2.000000,0.000000,,,4,.,.,4.000000,0.000000,,
INDEL,I1_5,*,PASS,*,QUAL,*,0.576923,0.833333,0.181818,0.681818,0,2,64274167,56516727.000000,0.000000,26,.,.,16.000000,7.000000,,2.2857142857142856,15,.,.,10.000000,4.000000,,2.5,11,.,.,6.000000,3.000000,,2.0,22,.,.,16.000000,4.000000,,4.0,15,.,.,10.000000,4.000000,,2.5,3,.,.,2.000000,0.000000,,,4,.,.,4.000000,0.000000,,
INDEL,I1_5,TS_contained,ALL,*,QUAL,*,0.576923,0.833333,0.0,0.681818,0,2,56516727.000000,56516727.000000,0.000000,26,.,.,16.000000,7.000000,,2.2857142857142856,15,.,.,10.000000,4.000000,,2.5,11,.,.,6.000000,3.000000,,2.0,18,.,.,12.000000,4.000000,,3.0,15,.,.,10.000000,4.000000,,2.5,3,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I1_5,TS_contained,PASS,*,QUAL,*,0.576923,0.833333,0.0,0.681818,0,2,56516727.000000,56516727.000000,0.000000,26,.,.,16.000000,7.000000,,2.2857142857142856,15,.,.,10.000000,4.000000,,2.5,11,.,.,6.000000,3.000000,,2.0,18,.,.,12.000000,4.000000,,3.0,15,.,.,10.000000,4.000000,,2.5,3,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I6_15,*,ALL,*,QUAL,*,0.75,0.5,0.14285699999999998,0.6,0,3,64274167,56516727.000000,0.000000,4,.,.,3.000000,0.000000,,,3,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,7,.,.,5.000000,0.000000,,,3,.,.,2.000000,0.000000,,,3,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,
INDEL,I6_15,*,PASS,*,QUAL,*,0.75,0.5,0.14285699999999998,0.6,0,3,64274167,56516727.000000,0.000000,4,.,.,3.000000,0.000000,,,3,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,7,.,.,5.000000,0.000000,,,3,.,.,2.000000,0.000000,,,3,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,
INDEL,I6_15,TS_contained,ALL,*,QUAL,*,0.75,0.5,0.0,0.6,0,3,56516727.000000,56516727.000000,0.000000,4,.,.,3.000000,0.000000,,,3,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,6,.,.,4.000000,0.000000,,,3,.,.,2.000000,0.000000,,,3,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I6_15,TS_contained,PASS,*,QUAL,*,0.75,0.5,0.0,0.6,0,3,56516727.000000,56516727.000000,0.000000,4,.,.,3.000000,0.000000,,,3,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,6,.,.,4.000000,0.000000,,,3,.,.,2.000000,0.000000,,,3,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,
SNP,*,*,ALL,*,QUAL,*,0.9975120000000001,0.9950370000000001,0.12959,0.996273,0,0,64274167,56516727.000000,0.000000,402,289.000000,114.000000,330.000000,71.000000,2.5350877192982457,4.647887323943662,401,289.000000,113.000000,330.000000,70.000000,2.5575221238938055,4.714285714285714,1,0.000000,1.000000,0.000000,1.000000,0.0,0.0,463,325.000000,139.000000,377.000000,85.000000,2.338129496402878,4.435294117647059,401,289.000000,113.000000,330.000000,70.000000,2.5575221238938055,4.714285714285714,2,1.000000,1.000000,1.000000,1.000000,1.0,1.0,60,35.000000,25.000000,46.000000,14.000000,1.4,3.2857142857142856
SNP,*,*,PASS,*,QUAL,*,0.9975120000000001,0.9950370000000001,0.12959,0.996273,0,0,64274167,56516727.000000,0.000000,402,289.000000,114.000000,330.000000,71.000000,2.5350877192982457,4.647887323943662,401,289.000000,113.000000,330.000000,70.000000,2.5575221238938055,4.714285714285714,1,0.000000,1.000000,0.000000,1.000000,0.0,0.0,463,325.000000,139.000000,377.000000,85.000000,2.338129496402878,4.435294117647059,401,289.000000,113.000000,330.000000,70.000000,2.5575221238938055,4.714285714285714,2,1.000000,1.000000,1.000000,1.000000,1.0,1.0,60,35.000000,25.000000,46.000000,14.000000,1.4,3.2857142857142856
SNP,*,TS_contained,ALL,*,QUAL,*,0.9975120000000001,0.9950370000000001,0.0,0.996273,0,0,56516727.000000,56516727.000000,0.000000,402,289.000000,114.000000,330.000000,71.000000,2.5350877192982457,4.647887323943662,401,289.000000,113.000000,330.000000,70.000000,2.5575221238938055,4.714285714285714,1,0.000000,1.000000,0.000000,1.000000,0.0,0.0,403,290.000000,114.000000,331.000000,71.000000,2.543859649122807,4.661971830985915,401,289.000000,113.000000,330.000000,70.000000,2.5575221238938055,4.714285714285714,2,1.000000,1.000000,1.000000,1.000000,1.0,1.0,0,0.000000,0.000000,0.000000,0.000000,,
SNP,*,TS_contained,PASS,*,QUAL,*,0.9975120000000001,0.9950370000000001,0.0,0.996273,0,0,56516727.000000,56516727.000000,0.000000,402,289.000000,114.000000,330.000000,71.000000,2.5350877192982457,4.647887323943662,401,289.000000,113.000000,330.000000,70.000000,2.5575221238938055,4.714285714285714,1,0.000000,1.000000,0.000000,1.000000,0.0,0.0,403,290.000000,114.000000,331.000000,71.000000,2.543859649122807,4.661971830985915,401,289.000000,113.000000,330.000000,70.000000,2.5575221238938055,4.714285714285714,2,1.000000,1.000000,1.000000,1.000000,1.0,1.0,0,0.000000,0.000000,0.000000,0.000000,,
